SYST_TRAJ_ID,FLPL_CALL_SIGN,FLPL_NUMB,FLPL_AIRC_TYPE,REQS_FLGT_LEVL,FLPL_DEPR_AIRP,FLPL_ARRV_AIRP,TRANSIT,MODES_ADRESS,FILE_DATE,frontiere_algerienne,premier_plot
202403210017937,VLG36VA,602068.0,A321,,LFPO,LEBL,,3425945.0,20240321,False,1556
202403210018513,RYR6ZD,599179.0,B738,,LIPX,LICJ,,5055065.0,20240321,False,1616
202403210018749,MEECMQV,,,,,,,3429636.0,20240321,False,1623
202403210019432,EJU17MJ,609688.0,A320,,LIRN,EGKK,,4456985.0,20240321,False,1648
202403210019608,AIC165,624976.0,B788,,VIDP,EGLL,,8390463.0,20240321,False,1655
202403210019887,BAW447,599217.0,A319,,EHAM,EGLL,,4196471.0,20240321,False,1705
202403210022935,VOE17SY,619821.0,A319,,LIMF,LIRN,,3429849.0,20240321,False,1957
202403210024153,DLH3NF,610958.0,A319,,EDDF,EDDP,,3958150.0,20240321,False,2134
202403210024184,RYR24AQ,616251.0,B738,,LIRN,LIME,,5055001.0,20240321,False,2139
202403210000589,CPA251,574389.0,B77W,,VHHH,EGLL,,7864833.0,20240321,False,0456
202403210000595,ETH700,623194.0,A359,,HAAB,EGLL,,262552.0,20240321,False,0459
202403210001710,TRA86L,604247.0,B738,,EHEH,LOWI,,4740303.0,20240321,False,0640
202403210003779,AFR32BA,596358.0,E190,,LFPG,EDDV,,3769717.0,20240321,False,0829
202403210004501,MOLOCH67,,,,,,,3756365.0,20240321,False,0855
202403210004659,MODEA_1000,,,,,,,,20240321,False,0900
202403210005545,EIN52X,617658.0,A21N,,LFPG,EIDW,,5024186.0,20240321,False,0929
202403210006658,FJLCV,,,,,,,3699709.0,20240321,False,1003
202403210006935,EJU384Y,618795.0,A320,,LFRS,LFLL,,4457132.0,20240321,False,1011
202403210007115,EJU62CB,608650.0,A320,,LIMC,EHAM,,4456828.0,20240321,False,1016
202403210009179,AFR32XB,617087.0,A321,,LFPG,LFBO,,3755023.0,20240321,False,1125
202403210009440,MODEA_436,,,,,,,,20240321,False,1135
202403210010142,NJE996P,626347.0,C680,,EDDK,LSMP,,4797089.0,20240321,False,1201
202403210012644,TAP454,615669.0,E190,,LPPR,LFPO,,4805143.0,20240321,False,1324
202403210012890,GPX2UD,614024.0,A320,,EDDL,BKPR,,4529594.0,20240321,False,1331
