Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2
72436,F,706,LFLL,EBBR,BEL94L   ,Z,A320   ,Z  ,OOTCV    ,,240316,AA56945397,,,,,,,,
72438,F,617,LFPG,EKCH,EJU65DR  ,Z,A319   ,Z  ,OELKC    ,,240316,AA56940434,,,,,,,,
72439,F,617,LFMN,EGKK,EJU8424  ,Z,A320   ,Z  ,OEICI    ,,240316,AA56940398,,,,,,,,
72440,F,626,LFPG,LCLK,EJU92JY  ,Z,A320   ,Z  ,OEIVE    ,,240316,AA56941590,,,,,,,,
72442,F,620,LFPG,EPWA,LOT334   ,Z,E195   ,Z  ,SPLNC    ,,240316,AA56939313,,,,,,,,
72446,F,621,LFPG,LTFM,THY1CR   ,Z,A21N   ,Z  ,TCLTL    ,,240316,AA56951971,,,,,,,,
72449,F,631,LFPG,EIDW,AFR1716  ,Z,E190   ,Z  ,FHBLB    ,,240316,AA56928175,,,,,,,,
72450,F,639,LFPG,EHAM,AFR59NB  ,Z,A321   ,Z  ,FGTAM    ,,240316,AA56948820,,,,,,,,
72451,F,627,LFPG,LOWW,AUA42DW  ,Z,A320   ,Z  ,OELZE    ,,240316,AA56948795,,,,,,,,
72477,F,623,LFPG,KPHL,UPS218   ,Z,B763   ,Z  ,N328U    ,,240316,AA56951865,,,,,,,,
72480,F,702,LFPG,LIPE,AFR1228  ,Z,B738   ,Z  ,FHIXB    ,,240316,AA56951466,,,,,,,,
72481,F,634,LFPG,LIRQ,AFR67DR  ,Z,A319   ,Z  ,FGRHZ    ,,240316,AA56949098,,,,,,,,
72495,F,649,LFPG,LIML,AFR41LU  ,Z,BCS3   ,Z  ,FHZUL    ,,240316,AA56949216,,,,,,,,
72496,F,641,LFPG,EGKK,EJU8402  ,Z,A320   ,Z  ,OEIVN    ,,240316,AA56940701,,,,,,,,
72504,F,638,LFPG,LSZH,SWR511P  ,Z,E290   ,Z  ,HBAZB    ,,240316,AA56932629,,,,,,,,
72507,F,718,LFMN,EGLL,BAW341   ,Z,A20N   ,Z  ,GTTND    ,,240316,AA56939444,,,,,,,,
72508,F,635,LFPG,EDDP,BCS207   ,Z,A306   ,Z  ,DAEAA    ,,240316,AA56950281,,,,,,,,
72511,F,624,LFSB,LFBO,EZS9959  ,Z,A320   ,Z  ,HBJXJ    ,,240316,AA56942693,,,,,,,,
72526,F,758,LFSB,LPPT,EZS76WR  ,Z,A320   ,Z  ,HBJZX    ,,240316,AA56946781,,,,,,,,
72528,F,703,LFPG,EDDB,AFR1434  ,Z,BCS3   ,Z  ,FHZUM    ,,240316,AA56949275,,,,,,,,
72530,F,644,LFPO,EDDB,EJU40FD  ,Z,A320   ,Z  ,OEINF    ,,240316,AA56940977,,,,,,,,
72536,F,658,LFPO,UDYZ,TVF7490  ,Z,B738   ,Z  ,FHTVU    ,,240316,AA56948896,,,,,,,,
72555,F,737,LFMN,LFSB,EZS108H  ,Z,A320   ,Z  ,HBJZZ    ,,240316,AA56941046,,,,,,,,
72562,F,708,LFMN,EHRD,AZE87VZ  ,Z,E50P   ,Z  ,DIAAB    ,,240316,AA56928407,,,,,,,,
72577,F,717,LFOB,EYVI,RYR30DH  ,Z,B738   ,Z  ,SPRKM    ,,240316,AA56945089,,,,,,,,
72585,F,712,LFPO,EFKT,TVF56CE  ,Z,B738   ,Z  ,FHTVJ    ,,240316,AA56948434,,,,,,,,
72596,F,714,LFPG,OTHH,QTR60Y   ,Z,B77W   ,Z  ,A7BAU    ,,240316,AA56945718,,,,,,,,
72603,F,725,LFPO,EFIV,TVF53PE  ,Z,B738   ,Z  ,FHTVR    ,,240316,AA56948487,,,,,,,,
72611,F,733,LFPG,EDDS,AFR14MQ  ,Z,E170   ,Z  ,FHBXM    ,,240316,AA56930227,,,,,,,,
